match_id,home_team,away_team,home_goals,away_goals,attendance,stadium,referee,date
1,Team B,Team F,0,3,27764,Stadium X,Ref C,2025-01-01 00:00:00
2,Team C,Team H,0,1,67896,Stadium Y,Ref B,2025-01-01 01:00:00
3,Team D,Team F,1,1,67283,Stadium Z,Ref A,2025-01-01 02:00:00
4,Team B,Team G,0,1,41911,Stadium Y,Ref C,2025-01-01 03:00:00
5,Team B,Team G,1,0,27119,Stadium Z,Ref C,2025-01-01 04:00:00
6,Team C,Team E,5,4,39110,Stadium Z,Ref A,2025-01-01 05:00:00
7,Team C,Team F,1,4,46535,Stadium X,Ref A,2025-01-01 06:00:00
8,Team A,Team H,0,1,55989,Stadium Y,Ref C,2025-01-01 07:00:00
9,Team B,Team G,2,4,19183,Stadium Y,Ref A,2025-01-01 08:00:00
10,Team C,Team G,4,1,31878,Stadium Y,Ref B,2025-01-01 09:00:00
11,Team C,Team F,0,3,20977,Stadium X,Ref C,2025-01-01 10:00:00
12,Team B,Team F,5,1,43609,Stadium X,Ref C,2025-01-01 11:00:00
13,Team B,Team F,2,2,59943,Stadium X,Ref C,2025-01-01 12:00:00
14,Team D,Team F,1,2,48086,Stadium X,Ref A,2025-01-01 13:00:00
15,Team B,Team H,2,1,24546,Stadium X,Ref B,2025-01-01 14:00:00
16,Team D,Team G,5,0,38258,Stadium Y,Ref B,2025-01-01 15:00:00
17,Team C,Team E,1,2,44921,Stadium X,Ref B,2025-01-01 16:00:00
18,Team C,Team H,5,1,40227,Stadium Y,Ref C,2025-01-01 17:00:00
19,Team A,Team G,0,1,41039,Stadium Y,Ref C,2025-01-01 18:00:00
20,Team A,Team F,4,1,66322,Stadium Z,Ref C,2025-01-01 19:00:00
21,Team A,Team E,3,5,31817,Stadium Y,Ref C,2025-01-01 20:00:00
22,Team D,Team E,0,2,70535,Stadium Z,Ref C,2025-01-01 21:00:00
23,Team B,Team H,5,0,35559,Stadium Y,Ref C,2025-01-01 22:00:00
24,Team A,Team G,2,1,61817,Stadium Z,Ref A,2025-01-01 23:00:00
25,Team D,Team E,2,4,24796,Stadium Z,Ref C,2025-01-02 00:00:00
26,Team A,Team G,3,2,61970,Stadium X,Ref A,2025-01-02 01:00:00
27,Team A,Team H,0,3,44209,Stadium Z,Ref B,2025-01-02 02:00:00
28,Team D,Team G,0,3,51659,Stadium Y,Ref C,2025-01-02 03:00:00
29,Team B,Team E,5,1,53192,Stadium X,Ref C,2025-01-02 04:00:00
30,Team C,Team G,3,0,43926,Stadium X,Ref A,2025-01-02 05:00:00
31,Team C,Team E,1,2,33677,Stadium Z,Ref B,2025-01-02 06:00:00
32,Team D,Team F,3,1,67478,Stadium X,Ref A,2025-01-02 07:00:00
33,Team B,Team G,0,5,60316,Stadium Y,Ref A,2025-01-02 08:00:00
34,Team B,Team E,4,4,55072,Stadium Z,Ref B,2025-01-02 09:00:00
35,Team B,Team F,0,4,35203,Stadium Y,Ref C,2025-01-02 10:00:00
36,Team B,Team G,3,5,10515,Stadium X,Ref B,2025-01-02 11:00:00
37,Team C,Team F,3,3,73591,Stadium X,Ref B,2025-01-02 12:00:00
38,Team C,Team E,2,1,27602,Stadium X,Ref A,2025-01-02 13:00:00
39,Team C,Team E,0,0,31224,Stadium Z,Ref C,2025-01-02 14:00:00
40,Team A,Team H,0,2,39837,Stadium X,Ref C,2025-01-02 15:00:00
41,Team A,Team E,3,0,26937,Stadium X,Ref C,2025-01-02 16:00:00
42,Team C,Team E,5,4,43548,Stadium Z,Ref A,2025-01-02 17:00:00
43,Team A,Team E,4,2,28455,Stadium Z,Ref A,2025-01-02 18:00:00
44,Team D,Team F,2,3,11503,Stadium Z,Ref A,2025-01-02 19:00:00
45,Team D,Team E,2,4,52001,Stadium X,Ref C,2025-01-02 20:00:00
46,Team C,Team H,3,3,44437,Stadium Y,Ref A,2025-01-02 21:00:00
47,Team C,Team F,4,1,50751,Stadium Y,Ref B,2025-01-02 22:00:00
48,Team B,Team H,0,5,40922,Stadium X,Ref C,2025-01-02 23:00:00
49,Team A,Team H,1,1,73227,Stadium Y,Ref A,2025-01-03 00:00:00
50,Team D,Team F,4,2,30766,Stadium Y,Ref A,2025-01-03 01:00:00
51,Team D,Team F,3,5,22545,Stadium Z,Ref A,2025-01-03 02:00:00
52,Team A,Team E,1,5,43638,Stadium Y,Ref B,2025-01-03 03:00:00
53,Team C,Team F,0,1,67914,Stadium Y,Ref A,2025-01-03 04:00:00
54,Team A,Team E,0,1,28093,Stadium Y,Ref B,2025-01-03 05:00:00
55,Team D,Team F,1,0,33307,Stadium Z,Ref C,2025-01-03 06:00:00
56,Team D,Team E,2,1,58196,Stadium Y,Ref A,2025-01-03 07:00:00
57,Team B,Team H,1,3,13151,Stadium Z,Ref B,2025-01-03 08:00:00
58,Team D,Team E,1,4,79134,Stadium Y,Ref C,2025-01-03 09:00:00
59,Team A,Team H,4,2,32505,Stadium Y,Ref A,2025-01-03 10:00:00
60,Team C,Team E,2,2,72313,Stadium X,Ref B,2025-01-03 11:00:00
61,Team B,Team E,4,5,18709,Stadium X,Ref A,2025-01-03 12:00:00
62,Team A,Team H,1,1,20870,Stadium Z,Ref B,2025-01-03 13:00:00
63,Team A,Team F,3,4,39561,Stadium Z,Ref C,2025-01-03 14:00:00
64,Team C,Team G,5,2,55173,Stadium Z,Ref B,2025-01-03 15:00:00
65,Team C,Team F,4,5,44482,Stadium Z,Ref B,2025-01-03 16:00:00
66,Team D,Team E,5,3,28973,Stadium Y,Ref C,2025-01-03 17:00:00
67,Team A,Team G,0,2,46179,Stadium Y,Ref B,2025-01-03 18:00:00
68,Team B,Team F,0,1,59811,Stadium Y,Ref C,2025-01-03 19:00:00
69,Team C,Team H,1,4,14651,Stadium Y,Ref A,2025-01-03 20:00:00
70,Team B,Team F,0,5,53376,Stadium Y,Ref A,2025-01-03 21:00:00
71,Team B,Team G,2,3,73246,Stadium Z,Ref B,2025-01-03 22:00:00
72,Team D,Team E,0,0,19775,Stadium Z,Ref A,2025-01-03 23:00:00
73,Team D,Team E,1,0,26550,Stadium X,Ref C,2025-01-04 00:00:00
74,Team C,Team F,1,5,55648,Stadium Y,Ref A,2025-01-04 01:00:00
75,Team C,Team G,4,2,74362,Stadium Y,Ref B,2025-01-04 02:00:00
76,Team C,Team G,4,5,44978,Stadium X,Ref B,2025-01-04 03:00:00
77,Team C,Team F,0,0,49042,Stadium Z,Ref B,2025-01-04 04:00:00
78,Team B,Team E,3,0,43033,Stadium X,Ref B,2025-01-04 05:00:00
79,Team D,Team F,3,2,29198,Stadium Z,Ref A,2025-01-04 06:00:00
80,Team A,Team F,0,1,53851,Stadium X,Ref C,2025-01-04 07:00:00
81,Team D,Team H,4,1,28526,Stadium Z,Ref A,2025-01-04 08:00:00
82,Team A,Team G,2,4,40944,Stadium X,Ref B,2025-01-04 09:00:00
83,Team B,Team G,3,5,17895,Stadium Y,Ref C,2025-01-04 10:00:00
84,Team C,Team F,0,0,78316,Stadium Z,Ref A,2025-01-04 11:00:00
85,Team A,Team H,0,5,50216,Stadium Y,Ref B,2025-01-04 12:00:00
86,Team D,Team G,2,4,38968,Stadium Y,Ref B,2025-01-04 13:00:00
87,Team B,Team E,2,5,74112,Stadium X,Ref A,2025-01-04 14:00:00
88,Team D,Team F,0,5,45082,Stadium Z,Ref B,2025-01-04 15:00:00
