Player,Nation,Position,Team,Age,Weekly,Annual
Kevin De Bruyne,BEL,"MF,FW",Manchester City,31.107658648307964,536042.1492131872,23991251.29025726
Erling Haaland,NOR,FW,Manchester City,25.277554455820955,413114.7869349399,25906271.797903217
Casemiro,BRA,MF,Manchester Utd,32.3037197356663,392709.9001778774,24145820.99091769
Mohamed Salah,EGY,FW,Liverpool,30.243752025696946,393490.9976033778,24237463.799500316
Bruno Fernandes,POR,MF,Manchester Utd,26.68859250779459,335503.92277084396,20233489.479243692
Marcus Rashford,ENG,"FW,MF",Manchester Utd,24.09230874830199,360648.5042933388,19732000.946847606
Bernardo Silva,POR,"MF,FW",Manchester City,27.427217993221696,377638.8240204295,20020837.31097988
Jack Grealish,ENG,"FW,MF",Manchester City,25.729436383224613,347246.0584600164,19066073.41684271
Omar Marmoush,EGY,"FW,MF",Manchester City,23.843876519493396,368569.42736379046,18824581.569408514
Kai Havertz,GER,"FW,MF",Arsenal,25.836639866210387,320389.05855685583,19342005.700602062
Gabriel Jesus,BRA,FW,Arsenal,25.272249693918138,306274.5852152605,18439022.53109037
Mason Mount,ENG,MF,Manchester Utd,24.763756096356925,306309.9428003345,14322345.67794685
John Stones,ENG,"DF,MF",Manchester City,30.26514461773302,284760.67215895065,17043131.946070515
Reece James,ENG,"DF,MF",Chelsea,22.276495629984854,281505.19216993876,14526716.091055969
Declan Rice,ENG,MF,Arsenal,26.02630543875735,264249.3263777978,16072534.366870077
Martin Ødegaard,NOR,MF,Arsenal,25.040591278301154,321592.3967085556,14317767.91949166
İlkay Gündoğan,GER,MF,Manchester City,31.352411218177977,302695.65190800076,14270152.232970726
Phil Foden,ENG,"MF,FW",Manchester City,21.859801281337777,281683.77742730913,12889234.649615297
Virgil van Dijk,NED,DF,Liverpool,33.90332537355134,259809.37069189583,14066555.834391931
Rodri,ESP,MF,Manchester City,28.33946061910954,258458.89811852115,14707940.716850474
Thomas Partey,GHA,"MF,DF",Arsenal,32.27697353682553,220019.53879263045,11734142.816636086
Antony,BRA,"DF,MF",Manchester Utd,22.165473717485355,243539.85457219477,11452798.046242762
Joško Gvardiol,CRO,DF,Manchester City,22.37027608117126,268674.14295767905,13682210.854518307
Wesley Fofana,FRA,DF,Chelsea,22.267194252006302,265848.0514776545,11488655.15105349
Bukayo Saka,ENG,"FW,MF",Arsenal,24.0554474828918,242396.72189287056,12785858.41344239
Matthijs de Ligt,NED,DF,Manchester Utd,26.040629260212768,245540.86412683033,12642593.410456855
Christopher Nkunku,FRA,FW,Chelsea,23.91976097400772,240360.03327319722,13555586.629681565
William Saliba,FRA,DF,Arsenal,22.701007458304723,230344.8594264203,13051876.29471963
Harry Maguire,ENG,DF,Manchester Utd,31.55466936225042,243141.3817698816,13199582.67111956
Son Heung-min,KOR,FW,Tottenham,30.0091917619483,219338.64237710903,12633710.597600212
Gabriel Martinelli,BRA,"FW,MF",Arsenal,24.44168403320012,212271.21667884508,11139925.974528104
Trent Alexander-Arnold,ENG,DF,Liverpool,24.374074644892747,241019.94588585207,10482354.496326594
Manuel Akanji,SUI,DF,Manchester City,30.23241398040932,206984.7356444043,11267736.593549237
Rúben Dias,POR,DF,Manchester City,24.660765468361365,201533.8097971375,10714412.34169245
Enzo Fernández,ARG,MF,Chelsea,21.588128796652594,241377.4418665587,11667848.265377803
Kyle Walker,ENG,DF,Manchester City,35.63380866446072,200705.5394458133,11134986.005074248
Marc Cucurella,ESP,DF,Chelsea,24.555541322223583,212653.37365124628,10695626.448376624
James Maddison,ENG,MF,Tottenham,25.15815609422691,207632.04284393598,10577425.684318446
Cristian Romero,ARG,DF,Tottenham,26.162774873192078,214486.9627761785,11105317.680574484
Timo Werner,GER,"FW,MF",Tottenham,26.368639389992662,191466.81479493028,10709736.395376815
Andrew Robertson,SCO,DF,Liverpool,28.638724711136938,176539.09862135357,10583548.810881939
Bruno Guimarães,BRA,MF,Newcastle Utd,23.935988268460054,212082.6401918945,9593171.717035178
Nathan Aké,NED,DF,Manchester City,30.690652619595948,195909.57361164608,10532123.709929518
Pedro Neto,POR,FW,Chelsea,23.290665127659956,201407.016334806,9448485.77867064
Kalvin Phillips,ENG,MF,Ipswich Town,26.126947775590804,199505.53380687407,10559908.701592648
Ben White,ENG,DF,Arsenal,28.221448986523228,167693.6500169811,9637479.208937012
Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,25.457407435667186,173811.211048093,8958838.615838222
Christian Eriksen,DEN,MF,Manchester Utd,31.277745413743876,167658.0954190958,8848431.160880286
Jadon Sancho,ENG,LW,Manchester Utd,24.55610174620298,165495.87392333767,9123087.504510194
Luke Shaw,ENG,DF,Manchester Utd,31.78771960212844,196835.94876317334,10181668.722870018
Jarrod Bowen,ENG,"FW,MF",West Ham,26.786148217896244,169056.1439013894,9656319.23727706
Lucas Paquetá,BRA,"MF,FW",West Ham,27.015022293221197,176389.81476585238,8967499.203885347
Alexis Mac Allister,ARG,MF,Liverpool,23.80470424834544,185921.78640821594,9606953.457673935
Alisson,BRA,GK,Liverpool,28.88186491260575,182127.75521981652,9278194.055919426
Federico Chiesa,ITA,FW,Liverpool,23.6730333474525,191342.50502601019,9074713.065615987
Ryan Gravenberch,NED,MF,Liverpool,19.872929228211618,166189.2534594726,9604993.842210133
Boubacar Kamara,FRA,MF,Aston Villa,22.908286044630792,180862.92902511096,10016514.877280641
Emiliano Martínez,ARG,GK,Aston Villa,33.15948830801134,185736.48031680216,8846642.425411938
Youri Tielemans,BEL,MF,Aston Villa,29.445445834924183,190947.8263833558,9788894.78647951
Anthony Gordon,ENG,"FW,MF",Newcastle Utd,25.25620991958567,191537.774924372,9842160.664618133
Joelinton,BRA,"MF,FW",Newcastle Utd,27.058143783148093,180617.39002991383,9359981.948534483
Lloyd Kelly,ENG,DF,Newcastle Utd,27.461361230391468,200012.7909891521,8740312.47926273
Mateo Kovačić,CRO,MF,Manchester City,32.02878987717877,186172.11014053933,8848171.268461727
Moisés Caicedo,ECU,"MF,DF",Chelsea,21.175292146293696,178970.63677546356,9412735.50370478
Donyell Malen,NED,FW,Aston Villa,23.09478578136225,196340.6501491431,10017834.893007755
Darwin Núñez,URU,FW,Liverpool,23.459221535679198,178478.4277411985,8859919.051799577
Diogo Jota,POR,FW,Liverpool,28.376541832669506,182142.92522166247,8958665.120109707
Amadou Onana,BEL,MF,Aston Villa,20.018015544742592,163041.29483288722,8855802.370585106
Jamie Vardy,ENG,FW,Leicester City,33.74158229543363,165582.59741656567,9427845.389868796
Noussair Mazraoui,MAR,DF,Manchester Utd,24.403432455720658,163949.9029291677,8175583.421849842
Mikel Merino,ESP,"MF,FW",Arsenal,27.560777881533582,168288.145456678,8400356.793679463
Ollie Watkins,ENG,FW,Aston Villa,26.603914625899655,163450.31175644157,8758997.166213194
