rank,team,win,loss,draw,goals,conceded,points,last5,top_scorer,keeper
0.9993645003454112,Liverpool,25.7677559646151,4.330423682418739,7.472710110534235,87.83587350165782,40.41183982818087,81.29428209357066,W W L D L,Mohamed Salah,Alisson
2.119966075631612,Arsenal,20.3346719522551,3.865565341224806,13.061946298960825,70.3701209215328,31.328604986644752,65.53736813323371,W D L D W,Kai Havertz,David Raya
3.1319313547434264,Manchester City,18.217005378842316,9.748388346638535,7.452754006518022,67.4478812590671,45.807447742453,72.63778806146465,W W W D W,Erling Haaland,Ederson
4.161313127686499,Newcastle Utd,20.394972044088743,11.955542975584882,6.096947785954064,66.6199329202492,44.46964375631918,70.87665236820109,L W D W L,Alexander Isak,Nick Pope
4.6583092565824264,Chelsea,17.425538892702182,8.633487412776466,8.151729819899034,64.78734608571276,40.54977169504749,63.98460278168087,W W W L W,Cole Palmer,Robert Sánchez
6.082559891810318,Aston Villa,20.165857283586497,8.387938082051068,8.12536443869298,62.929823642360795,44.1864692968707,64.54257068240842,W L W W W,Ollie Watkins,Emiliano Martínez
6.700793692206336,Nott'ham Forest,20.132740051465852,10.408514842974608,7.291134632287332,57.837525815775244,48.82706278572792,68.50161058633529,W L D D W,Chris Wood,Matz Sels
8.314193380195624,Brighton,16.156471466463675,8.551199184584876,14.266789290421505,59.41850688998425,56.81839301417741,54.21562553370908,L W D W W,"Kaoru Mitoma, Danny Welbeck...",Bart Verbruggen
8.963472036953151,Brentford,16.30106036586217,14.267560950357662,6.827500210665817,67.01306721180609,61.394279847341195,60.21262643903034,W W W W L,"Yoane Wissa, Bryan Mbeumo",Mark Flekken
10.186346447484766,Fulham,15.317341686818331,14.005394497623849,9.60453128683336,53.004906802243426,56.18122172191303,50.894655857374836,L W L L W,Raúl Jiménez,Bernd Leno
11.738906273230413,Bournemouth,14.153302077746824,12.784429628290026,11.925786559667804,58.774767968857105,41.75472368340517,58.168725910787636,D D W L L,Justin Kluivert,Kepa Arrizabalaga
11.348009927783636,Crystal Palace,11.789828066696755,11.680886563754182,13.593552264099017,50.09535986082329,50.48618296974705,49.6685877410022,D D D W W,Jean-Philippe Mateta,Dean Henderson
14.121103491856259,Everton,9.90426551752,11.844914214533636,16.10502282227067,42.78474228250084,46.18174947958059,41.1173887125624,L L D W W,Iliman Ndiaye,Jordan Pickford
13.420697256885092,Wolves,12.666572315164837,19.126380441889474,5.381312958954344,55.626741598131396,71.45382720191513,43.33537678839674,W W L L L,Matheus Cunha,José Sá
14.452357690608938,West Ham,10.335889771549045,15.451133009973123,9.551104717535178,43.62314560892371,62.7041231870625,38.03381780787567,D L D W L,Jarrod Bowen,Alphonse Areola
15.011006070041836,Manchester Utd,9.457889892118054,17.35748213042864,8.205388277549288,40.91136444257806,58.34072444344515,40.41222928660366,L D L L L,Bruno Fernandes,André Onana
15.5782478802168,Tottenham,11.109773724252843,22.870772272254086,5.045978227790724,63.60283496611412,56.20491079358879,35.228951750382606,L L D L L,Brennan Johnson,Guglielmo Vicario
